#{"t_start": 1658865452.5116673, "env_id": "DeepRMSCA-v0"}
r,l,t,service_blocking_rate_since_reset,bit_rate_blocking_rate_since_reset
-8,50,117.995176,0.58,0.5650997632735881
6,50,118.237231,0.44,0.4294117647058823
16,50,118.486292,0.34,0.3147340889276373
10,50,118.704341,0.4,0.40263246709416134
18,50,118.9546,0.32,0.35098934550989347
0,50,119.169649,0.5,0.48980252508902555
10,50,119.608938,0.4,0.421468554494567
6,50,119.822986,0.44,0.41396882494004794
28,50,120.090046,0.22,0.23283082077051925
8,50,120.309096,0.42,0.41252768111357163
8,50,120.54816,0.42,0.4379985496736766
2,50,120.802217,0.48,0.4779116465863454
-4,50,121.03127,0.54,0.5563070679742983
22,50,121.254324,0.28,0.2644230769230769
2,50,121.493377,0.48,0.48285624410191885
0,50,121.702424,0.5,0.5527888446215139
4,50,121.941416,0.46,0.4889653195758097
-4,50,122.156041,0.54,0.4720989220038047
10,50,122.398096,0.4,0.38071570576540753
6,50,122.604149,0.44,0.4072813882272882
20,50,122.89272,0.3,0.28700248756218905
12,50,123.118771,0.38,0.40931780366056575
-6,50,123.341822,0.56,0.5319449346981998
6,50,123.558872,0.44,0.44018987341772153
10,50,123.800927,0.4,0.399234693877551
-2,50,124.011976,0.52,0.5553353154938884
12,50,124.466427,0.38,0.3728693181818182
16,50,124.688477,0.34,0.3001930501930502
4,50,124.939535,0.46,0.48409572856710087
8,50,125.162586,0.42,0.4355134474327628
-2,50,125.401,0.52,0.5393120393120393
24,50,125.630615,0.26,0.27403846153846156
6,50,125.882674,0.44,0.43173023770038693
0,50,126.099722,0.5,0.49337349397590363
12,50,126.338777,0.38,0.34971956450016495
14,50,126.580834,0.36,0.3600925008259002
16,50,126.826251,0.34,0.3236760124610592
20,50,127.059305,0.3,0.29153506001263424
8,50,127.297359,0.42,0.4413426387504154
6,50,127.51741,0.44,0.4298790454396862
16,50,127.76647,0.34,0.3353729603729604
6,50,127.987369,0.44,0.47512919896640826
4,50,128.228423,0.46,0.47474093264248707
14,50,128.452475,0.36,0.3703099510603589
8,50,128.704532,0.42,0.41880638445523943
8,50,128.926583,0.42,0.4510229386236826
14,50,129.17264,0.36,0.3691212871287129
10,50,129.593736,0.4,0.3804034582132565
2,50,129.82679,0.48,0.47073096754625415
12,50,130.055531,0.38,0.41092489137181876
-6,50,130.291584,0.56,0.4993131868131868
10,50,130.560645,0.4,0.37083993660855785
4,50,130.7987,0.46,0.4231301939058172
2,50,131.011749,0.48,0.47058823529411764
18,50,131.270808,0.32,0.34831460674157305
10,50,131.49486,0.4,0.3813478122005749
4,50,131.730963,0.46,0.4685846560846561
16,50,131.955016,0.34,0.34904497843499693
0,50,132.194076,0.5,0.5001522997258605
6,50,132.412125,0.44,0.45497332914967054
10,50,132.658694,0.4,0.42149595687331537
8,50,132.871743,0.42,0.4284804077731762
4,50,133.118799,0.46,0.4520249221183801
10,50,133.34085,0.4,0.3756297229219144
24,50,133.601859,0.26,0.23200788695366414
8,50,133.817909,0.42,0.4153153153153153
24,50,134.074968,0.26,0.25125125125125125
22,50,134.504069,0.28,0.29923102641257104
-4,50,134.733122,0.54,0.49386304909560724
6,50,134.944171,0.44,0.38941736028537455
6,50,135.200233,0.44,0.3899739583333333
16,50,135.426285,0.34,0.30487033523086654
18,50,135.673342,0.32,0.31947815533980584
4,50,135.891395,0.46,0.420939514891004
26,50,136.147408,0.24,0.23217789404839764
6,50,136.369459,0.44,0.4482058226134055
