#{"t_start": 1658275058.4206622, "env_id": "DeepRMSCA-v0"}
r,l,t,service_blocking_rate_since_reset,bit_rate_blocking_rate_since_reset
40,50,201.311002,0.1,0.10681586978636826
32,50,201.555565,0.18,0.15748031496062992
30,50,201.813624,0.2,0.20207774798927614
18,50,202.035675,0.32,0.3274282223579719
38,50,202.298735,0.12,0.09742216270505524
28,50,202.519786,0.22,0.22534722222222223
38,50,202.788848,0.12,0.10524691358024692
36,50,203.031903,0.14,0.14308426073131955
34,50,203.282959,0.16,0.143917761279269
36,50,203.535018,0.14,0.14860583016476553
34,50,203.795077,0.16,0.14015904572564614
38,50,204.038136,0.12,0.13214739517153748
42,50,204.296199,0.08,0.08524173027989822
42,50,204.542256,0.08,0.05723577235772358
38,50,205.017365,0.12,0.09922041105598867
38,50,205.259926,0.12,0.11976630963972736
28,50,205.515985,0.22,0.22548443922489725
28,50,205.75704,0.22,0.24254090471607315
36,50,206.022101,0.14,0.13788442041230145
44,50,206.273957,0.06,0.05091586463831108
40,50,206.551021,0.1,0.09446045469100224
48,50,206.813086,0.02,0.025954198473282442
38,50,207.093154,0.12,0.13514366908746447
36,50,207.375218,0.14,0.11634349030470914
38,50,207.69229,0.12,0.1536697247706422
34,50,207.966353,0.16,0.1875
40,50,208.304431,0.1,0.10023310023310024
36,50,208.596018,0.14,0.1760237780713342
42,50,208.91709,0.08,0.08285105086810844
46,50,209.205666,0.04,0.06168104825822947
34,50,209.507734,0.16,0.16061676839061997
36,50,209.775796,0.14,0.1796071094480823
36,50,210.060861,0.14,0.12759270898805783
36,50,210.345927,0.14,0.1469767441860465
40,50,210.900062,0.1,0.10009686793671295
36,50,211.177126,0.14,0.1489971346704871
46,50,211.503202,0.04,0.045135712107349804
46,50,211.785265,0.04,0.040701314965560426
40,50,212.082843,0.1,0.09559987337765116
40,50,212.349904,0.1,0.11604207758053912
46,50,212.687981,0.04,0.03682236617797477
38,50,212.970047,0.12,0.13482056256062075
46,50,213.313125,0.04,0.04197138314785374
36,50,213.589189,0.14,0.1249221183800623
30,50,213.883256,0.2,0.1716923076923077
34,50,214.140315,0.16,0.12633972068853525
40,50,214.431009,0.1,0.09037328094302555
40,50,214.691069,0.1,0.12527681113571654
48,50,215.001139,0.02,0.023564553601062063
46,50,215.270201,0.04,0.03022508038585209
42,50,215.542264,0.08,0.06046375110067508
42,50,215.799323,0.08,0.07171717171717172
36,50,216.098391,0.14,0.1355475763016158
44,50,216.382221,0.06,0.050435865504358655
36,50,216.695593,0.14,0.14145704018294675
44,50,217.196712,0.06,0.07415384615384615
44,50,217.497782,0.06,0.07002987056090275
28,50,217.767844,0.22,0.2253004005340454
40,50,218.072913,0.1,0.08101927474681477
40,50,218.341975,0.1,0.07559808612440191
46,50,218.661048,0.04,0.05638474295190713
44,50,218.93743,0.06,0.057033002242870875
38,50,219.258502,0.12,0.14786635792259345
44,50,219.539567,0.06,0.0663248958667094
44,50,219.852064,0.06,0.051210428305400374
42,50,220.150132,0.08,0.06415929203539823
38,50,220.450202,0.12,0.10770750988142293
32,50,220.753272,0.18,0.18352290193667384
48,50,221.070343,0.02,0.030166435506241332
44,50,221.347956,0.06,0.05470313542361575
40,50,221.664029,0.1,0.11666666666666667
42,50,221.94152,0.08,0.11149346180316587
38,50,222.23659,0.12,0.11951297661006088
40,50,222.530655,0.1,0.0885925925925926
36,50,222.824273,0.14,0.1648286140089419
38,50,223.297386,0.12,0.11815754339118825
38,50,223.582449,0.12,0.1263256394260761
44,50,223.867517,0.06,0.07055805003207184
42,50,224.168584,0.08,0.08474074074074074
42,50,224.450649,0.08,0.08127914723517655
36,50,224.76172,0.14,0.13517915309446255
36,50,225.033783,0.14,0.15861466821885914
38,50,225.320847,0.12,0.09021639743980493
46,50,225.595916,0.04,0.05616605616605617
40,50,225.887982,0.1,0.10026385224274406
42,50,226.182048,0.08,0.06451612903225806
44,50,226.490125,0.06,0.07105263157894737
44,50,226.806133,0.06,0.042779126213592235
40,50,227.125208,0.1,0.11407919547454431
40,50,227.466954,0.1,0.09620808523973676
44,50,227.786788,0.06,0.052109181141439205
40,50,228.068853,0.1,0.10265210608424337
42,50,228.389927,0.08,0.06434668417596848
42,50,228.684993,0.08,0.10009126863401278
38,50,229.049077,0.12,0.09373996789727126
44,50,229.329141,0.06,0.06263301915475829
46,50,229.856152,0.04,0.036891936010447275
34,50,230.123214,0.16,0.1613394216133942
42,50,230.429287,0.08,0.10464355788096795
40,50,230.700201,0.1,0.12199254490003389
44,50,230.999269,0.06,0.08208736440926415
40,50,231.271332,0.1,0.11187072715972654
46,50,231.570172,0.04,0.04604051565377532
40,50,231.841234,0.1,0.10393700787401575
42,50,232.130301,0.08,0.11288805268109126
40,50,232.395361,0.1,0.08537782139352307
42,50,232.688428,0.08,0.06963696369636964
42,50,232.966492,0.08,0.0843263061411549
48,50,233.288565,0.02,0.0129174543163201
42,50,233.556431,0.08,0.09947804728277557
40,50,233.877505,0.1,0.13494461228600202
50,50,234.150566,0.0,0.0
44,50,234.440637,0.06,0.06398181227671322
46,50,234.733706,0.04,0.04475661548513558
40,50,235.027772,0.1,0.10488861386138613
36,50,235.27883,0.14,0.12286689419795221
42,50,235.773942,0.08,0.05572755417956656
42,50,236.053553,0.08,0.06848864010536714
44,50,236.348123,0.06,0.046620046620046623
46,50,236.609183,0.04,0.05141776937618148
36,50,236.892249,0.14,0.16721705193635544
38,50,237.155312,0.12,0.11067903081064911
36,50,237.433375,0.14,0.1420731707317073
34,50,237.698436,0.16,0.1409846547314578
40,50,237.997066,0.1,0.08346761198839832
46,50,238.280135,0.04,0.04780048493245584
40,50,238.56021,0.1,0.1229307173513182
46,50,238.834271,0.04,0.024615384615384615
40,50,239.118335,0.1,0.085667215815486
48,50,239.422405,0.02,0.029777486910994765
40,50,239.706471,0.1,0.1036767141437562
40,50,239.979908,0.1,0.09176542084472805
42,50,240.289588,0.08,0.07451231212024305
40,50,240.560657,0.1,0.09362279511533243
38,50,240.866727,0.12,0.11950354609929079
46,50,241.146792,0.04,0.0458830923947203
48,50,241.449865,0.02,0.014004668222740914
46,50,241.95598,0.04,0.045074626865671645
46,50,242.266055,0.04,0.036036036036036036
46,50,242.553181,0.04,0.05814337628014536
36,50,242.853249,0.14,0.10071013557133635
44,50,243.143319,0.06,0.039078855547801813
46,50,243.450897,0.04,0.03563103563103563
36,50,243.723959,0.14,0.15288220551378445
44,50,244.049034,0.06,0.08527626956244011
40,50,244.356032,0.1,0.10221082986222364
40,50,244.640122,0.1,0.11818181818181818
50,50,244.949194,0.0,0.0
48,50,245.253085,0.02,0.02266754270696452
42,50,245.520147,0.08,0.0905683947532792
46,50,245.847061,0.04,0.05918576804652754
42,50,246.132126,0.08,0.09006211180124224
46,50,246.460202,0.04,0.04538087520259319
44,50,246.763376,0.06,0.04070152217074785
36,50,247.085449,0.14,0.13790849673202615
46,50,247.35551,0.04,0.018822724161533196
46,50,247.680201,0.04,0.037643778319972114
46,50,248.167313,0.04,0.039796529024536204
42,50,248.474383,0.08,0.081419624217119
44,50,248.756026,0.06,0.05896656534954407
50,50,249.068097,0.0,0.0
46,50,249.333158,0.04,0.035555555555555556
44,50,249.635228,0.06,0.06884627475636593
46,50,249.90729,0.04,0.051552431165787935
42,50,250.198431,0.08,0.06877149109096593
40,50,250.470493,0.1,0.09479305740987984
42,50,250.767561,0.08,0.08472839084386743
46,50,251.058627,0.04,0.04639684106614018
46,50,251.3717,0.04,0.04423635776557959
48,50,251.645762,0.02,0.01762114537444934
44,50,251.951699,0.06,0.08909952606635071
44,50,252.239765,0.06,0.05988593155893536
42,50,252.551548,0.08,0.06399774457287849
44,50,252.828764,0.06,0.055419151175026306
44,50,253.11883,0.06,0.07394587791063562
34,50,253.365886,0.16,0.17277992277992277
48,50,253.675961,0.02,0.02711426726920594
44,50,253.941026,0.06,0.04263442570792237
46,50,254.519159,0.04,0.058859408356206164
46,50,254.839155,0.04,0.04805564337654126
46,50,255.183233,0.04,0.05034396497811132
44,50,255.51231,0.06,0.0632992327365729
48,50,255.893396,0.02,0.018467220683287166
48,50,256.256482,0.02,0.012426422498364944
46,50,256.634567,0.04,0.04376996805111821
46,50,256.990649,0.04,0.04298567144285238
42,50,257.344005,0.08,0.08598425196850394
38,50,257.660588,0.12,0.137897150343924
40,50,258.000666,0.1,0.09802043422733078
46,50,258.293734,0.04,0.05015873015873016
44,50,258.588686,0.06,0.0813180169286578
44,50,258.886755,0.06,0.07167776720583571
44,50,259.164821,0.06,0.054019292604501605
42,50,259.433886,0.08,0.07682499203060249
42,50,259.728463,0.08,0.08208469055374593
46,50,260.023531,0.04,0.03952175357024244
46,50,260.346608,0.04,0.050296891372685996
38,50,260.663681,0.12,0.11718034787915776
50,50,261.284921,0.0,0.0
42,50,261.593992,0.08,0.06677115987460815
46,50,261.924068,0.04,0.05243942914039164
46,50,262.201922,0.04,0.055984555984555984
50,50,262.521942,0.0,0.0
42,50,262.808008,0.08,0.09860071591278881
44,50,263.126081,0.06,0.08335994889811561
48,50,263.401952,0.02,0.021310946076848563
48,50,263.728024,0.02,0.0224609375
50,50,264.028095,0.0,0.0
46,50,264.374801,0.04,0.0392156862745098
48,50,264.649863,0.02,0.02842759846017175
48,50,264.988941,0.02,0.028830579850988015
48,50,265.266992,0.02,0.020401554404145077
48,50,265.587573,0.02,0.028034405861739407
42,50,265.874639,0.08,0.0843568196509373
36,50,266.160704,0.14,0.1411042944785276
44,50,266.453771,0.06,0.061164090759618546
44,50,266.774844,0.06,0.0647459727385378
48,50,267.065911,0.02,0.013942450311480272
48,50,267.385985,0.02,0.010248901903367497
40,50,267.892124,0.1,0.10236220472440945
46,50,268.21466,0.04,0.039610185476265325
50,50,268.494725,0.0,0.0
44,50,268.840805,0.06,0.04513993379476377
46,50,269.12687,0.04,0.0411962160512664
44,50,269.454944,0.06,0.07799113737075332
48,50,269.749013,0.02,0.028609447771124417
44,50,270.048885,0.06,0.0553811019126463
46,50,270.319949,0.04,0.035081625564432097
48,50,270.616016,0.02,0.02304
48,50,270.883077,0.02,0.008170961659333752
48,50,271.209151,0.02,0.025585696670776818
48,50,271.497217,0.02,0.02303070761014686
44,50,271.81333,0.06,0.0487565445026178
38,50,272.081896,0.12,0.132946111648919
44,50,272.361959,0.06,0.07044410413476264
44,50,272.623023,0.06,0.0784313725490196
46,50,272.933099,0.04,0.054579673776662486
48,50,273.210163,0.02,0.024219247928616953
42,50,273.492227,0.08,0.08349451966473243
48,50,273.989344,0.02,0.015496208374546653
44,50,274.264407,0.06,0.059443911792905084
42,50,274.509462,0.08,0.07941376959781868
46,50,274.785526,0.04,0.0550122249388753
44,50,275.048586,0.06,0.037947122861586316
50,50,275.381664,0.0,0.0
50,50,275.669237,0.0,0.0
44,50,275.992309,0.06,0.06732117812061711
46,50,276.266371,0.04,0.03411580594679186
42,50,276.56444,0.08,0.05904761904761905
50,50,276.859508,0.0,0.0
42,50,277.167578,0.08,0.07715582450832073
48,50,277.43564,0.02,0.025437727122563595
40,50,277.746711,0.1,0.10126984126984127
42,50,278.016773,0.08,0.06213292117465224
48,50,278.321843,0.02,0.029282576866764276
50,50,278.598906,0.0,0.0
44,50,278.925274,0.06,0.0305993690851735
48,50,279.204338,0.02,0.029498525073746312
48,50,279.487751,0.02,0.011558887847547642
44,50,279.773816,0.06,0.085291277759897
46,50,280.336945,0.04,0.034879783271249576
48,50,280.610008,0.02,0.020223152022315203
42,50,280.921078,0.08,0.07856673241288625
46,50,281.21715,0.04,0.047172967547674804
46,50,281.509069,0.04,0.037109375
44,50,281.761132,0.06,0.05675406571523399
44,50,282.041197,0.06,0.06526583890480739
42,50,282.327262,0.08,0.0907928388746803
42,50,282.661235,0.08,0.08461538461538462
44,50,283.029319,0.06,0.08018433179723503
48,50,283.432919,0.02,0.023362948338269168
46,50,283.762001,0.04,0.032091097308488616
46,50,284.100077,0.04,0.020369790034471952
46,50,284.416151,0.04,0.05843293492695883
44,50,284.715218,0.06,0.039603960396039604
48,50,285.000283,0.02,0.02450229709035222
46,50,285.322359,0.04,0.01905972045743329
50,50,285.604947,0.0,0.0
46,50,285.911849,0.04,0.042672841548130995
36,50,286.181911,0.14,0.11149281698938164
48,50,286.71688,0.02,0.029551954242135366
48,50,287.002454,0.02,0.025663980901223515
48,50,287.274517,0.02,0.010295582862836267
48,50,287.514571,0.02,0.011643379906852961
48,50,287.791635,0.02,0.01302170283806344
44,50,288.061697,0.06,0.07251424952501584
42,50,288.318755,0.08,0.08085381630012936
50,50,288.567804,0.0,0.0
48,50,288.862871,0.02,0.021673690547862733
46,50,289.134935,0.04,0.03428927680798005
48,50,289.477012,0.02,0.023793787177792465
50,50,289.762591,0.0,0.0
46,50,290.072659,0.04,0.03785780240073869
42,50,290.375728,0.08,0.08441138421733506
48,50,290.6908,0.02,0.011077844311377245
42,50,290.972866,0.08,0.07805907172995781
50,50,291.342952,0.0,0.0
42,50,291.668024,0.08,0.11125916055962691
48,50,292.056113,0.02,0.029634300126103404
44,50,292.392203,0.06,0.05458154151505128
46,50,292.967876,0.04,0.050841862000660286
42,50,293.264947,0.08,0.10968156963653908
44,50,293.612027,0.06,0.07830930537352555
48,50,293.882088,0.02,0.024296675191815855
44,50,294.158151,0.06,0.06424399740428294
48,50,294.417275,0.02,0.023430178069353328
50,50,294.698339,0.0,0.0
46,50,294.969402,0.04,0.05015946651203247
44,50,295.273472,0.06,0.07147790055248619
46,50,295.534531,0.04,0.041811846689895474
46,50,295.808596,0.04,0.04
50,50,296.077657,0.0,0.0
46,50,296.359227,0.04,0.036308623298033284
42,50,296.606283,0.08,0.07800175284837861
46,50,296.873347,0.04,0.03782945736434108
48,50,297.131408,0.02,0.020744356314826115
42,50,297.414474,0.08,0.08368967623701894
50,50,297.690537,0.0,0.0
42,50,297.984611,0.08,0.08986928104575163
40,50,298.283677,0.1,0.10999306037473977
46,50,298.598748,0.04,0.04583194951843241
48,50,299.071864,0.02,0.010759299108515216
